Tipo	Pregunta	Gold standard	Respuesta bot	Score		Aluc.	Comentario juez
app	¿Dónde puedo descargar la app FARMA?	La app FARMA está disponible en Google Play, App Store y también directamente dentro	Puedes descargar la app FARMA desde: - Google Play: [FARMA en Google Play](https://p	3.5	⚠️	medio	El bot responde la pregunta correctamente mencionando Google Play y App Store, pero o
app	¿Para qué sirve la aplicación FARMA?	La app FARMA te permite consultar coberturas de medicamentos. A partir de agosto de 2	La aplicación FARMA permite a los afiliados: - Consultar la cobertura de medicamento	3.3	❌	alto	El bot responde con detalle sobre la funcionalidad de FARMA pero inventa múltiples ca
app	¿Puedo usar FARMA desde Mi MutuaLyF o tengo que descargar una app aparte?	A partir de agosto de 2025, FARMA estará disponible directamente dentro de Mi MutuaLy	Puedes usar la aplicación FARMA directamente desde la plataforma Mi MutuaLyF, además	3.5	⚠️	medio	El bot responde correctamente que FARMA estará integrada en Mi MutuaLyF y disponible
cobertura	¿Puedo pedir más de una receta en la misma consulta si tengo un tratamiento crónico?	Sí, desde abril de 2025 los médicos pueden emitir hasta 3 recetas por consulta para p	Sí, los médicos pueden emitir hasta tres recetas por consulta para pacientes con trat	4.3	⚠️	medio	La respuesta es relevante y completa, pero omite la fecha de vigencia (abril de 2025)
cobertura	¿Cuántas recetas me pueden dar en una sola consulta para mi enfermedad crónica?	Te pueden emitir hasta 3 recetas por consulta para tratamientos crónicos, lo que sign	El médico puede emitir hasta tres recetas por consulta para pacientes con tratamiento	4.8	✅	bajo	La respuesta es correcta y relevante; agrega la aclaración útil de '3 meses de medica
general	¿A partir de cuándo puedo sacar varias recetas en una misma visita al médico?	A partir de abril de 2025 está disponible esta opción. Los médicos pueden emitir hast	Desde abril de 2025, los médicos pueden emitir hasta tres recetas por consulta para p	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, incluyendo todos los
app	¿Cómo hago para gestionar mis órdenes médicas desde el celular?	Podés gestionar tus órdenes médicas desde la aplicación Mi MutuaLyF. Te recomendamos	Para gestionar tus órdenes médicas desde el celular, puedes usar la App Mi MutuaLyF.	3.5	⚠️	medio	El bot identifica correctamente la App Mi MutuaLyF pero agrega pasos detallados no ve
app	¿Dónde puedo encontrar el instructivo para usar las órdenes digitales?	El instructivo completo para gestionar órdenes médicas desde Mi MutuaLyF está disponi	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.0	❌	bajo	El bot no inventó datos pero falló completamente en proveer la información solicitada
tramite	¿Puedo sacar mis órdenes médicas online o tengo que ir a la sede?	Sí, podés gestionar tus órdenes médicas de forma digital directamente desde la aplica	Puedes gestionar tus órdenes médicas de forma digital a través del portal Mi MutuaLyF	3.5	⚠️	medio	El bot responde correctamente que no es necesario ir a la sede y menciona la app Mi M
tramite	¿Cómo hago ahora para sacar una orden médica? ¿Todavía se pueden imprimir?	A partir del 1 de octubre de 2024, las órdenes médicas ya no se emiten en papel. Debé	Las órdenes médicas se gestionan de forma digital a través del portal Mi MutuaLyF o d	4.0	⚠️	medio	El bot responde correctamente sobre la digitalización y la fecha de corte, pero agreg
tramite	¿Puedo tramitar la autorización de una orden desde mi casa o tengo que ir a la mutual	Podés hacerlo de las dos formas: desde tu casa a través del portal Mi MutuaLyF, o de	Puedes tramitar la autorización de una orden desde tu casa a través del portal Mi Mut	4.25	⚠️	medio	La respuesta es relevante y completa, pero menciona una 'aplicación disponible' que n
general	¿Qué pasó con las órdenes en papel? ¿Desde cuándo no las emiten más?	Desde el 1 de octubre de 2024 dejamos de emitir órdenes médicas en formato papel. Aho	Las órdenes médicas impresas en papel dejaron de emitirse a partir del 1 de octubre d	4.3	⚠️	medio	La respuesta es precisa y completa en lo esencial, pero agrega la dirección física 'J
general	¿Todavía puedo usar recetas en papel o ya no sirven?	No, a partir de junio de 2024 se eliminó definitivamente la receta médica en formato	A partir de junio de 2024, la receta médica en formato papel fue eliminada definitiva	4.8	✅	bajo	La respuesta es prácticamente idéntica al ground truth en contenido y precisión, aunq
tramite	¿Cómo hacen los médicos para enviarme la receta ahora sin papel?	Los médicos emiten las recetas electrónicas a través de las plataformas habilitadas p	Los médicos emiten recetas electrónicas a través de las plataformas habilitadas por e	4.0	⚠️	medio	La respuesta es relevante y completa, pero agrega un dato específico no verificable (
general	¿Desde cuándo dejaron de aceptar recetas de papel en las farmacias?	Desde junio de 2024 se eliminó definitivamente la receta médica en formato papel. A p	A partir de junio de 2024, se eliminó definitivamente la receta médica en formato pap	4.8	✅	bajo	La respuesta es precisa y consistente con el ground truth, aunque omite la mención ex
horarios	¿Cuál es el horario de atención del Centro Médico?	El Centro Médico de MutuaLyF atiende de lunes a viernes de 7:30 a 19:00 horas de form	El horario de atención del Centro Médico de MutuaLyF es de lunes a viernes de 7:30 a	3.8	⚠️	medio	El horario es correcto pero el bot omite la disponibilidad telefónica mencionada en e
contacto	¿Cómo saco turno en el Centro Médico?	Podés sacar turno de tres formas: a través de Mi MutuaLyF Web (https://www.luzyfuerza	Los turnos en el Centro Médico de MutuaLyF se pueden gestionar de las siguientes mane	4.3	⚠️	medio	La respuesta es completa y correcta en todos los canales de atención, pero agrega la
general	¿Qué especialidades tiene el Centro Médico de MutuaLyF?	El Centro Médico cuenta con las siguientes especialidades: Bioquímica, Cardiología, D	El Centro Médico de MutuaLyF cuenta con profesionales en las siguientes especialidade	4.3	⚠️	medio	La respuesta incluye correctamente todas las especialidades del ground truth pero agr
general	¿Desde cuándo existe MutuaLyF?	MutuaLyF inició sus actividades en 1999 para administrar los servicios de salud del S	MutuaLyF inició sus actividades en 1999.	4.5	✅	bajo	La respuesta es correcta y no contiene datos inventados, pero omite el contexto relev
general	¿Qué es lo que hace MutuaLyF exactamente?	MutuaLyF gestiona los servicios de salud (OSFATLYF) administrando los recursos dispon	MutuaLyF gestiona los servicios de salud en el ámbito del Sindicato de Luz y Fuerza d	4.3	⚠️	medio	La respuesta es relevante y completa, pero agrega detalles específicos (cobertura pro
general	¿MutuaLyF incorporó tecnología en los últimos años?	Sí, desde 2015 MutuaLyF inició un proceso de autogestión y reestructuración que se pr	Sí, MutuaLyF ha incorporado herramientas tecnológicas y modernizado su gestión desde	3.8	⚠️	medio	El bot omite el inicio del proceso desde 2015 y agrega información no verificable sob
general	¿Qué diferencia a MutuaLyF de las otras prepagas?	MutuaLyF se diferencia por su espíritu solidario: el aporte de cada afiliado financia	MutuaLyF se diferencia del mercado de prepagas por su espíritu solidario, donde el ap	4.8	✅	bajo	La respuesta cubre todos los puntos del ground truth con precisión, agregando solo un
general	¿Cómo funciona el sistema de aportes en MutuaLyF?	En MutuaLyF, el aporte de cada afiliado financia un mejor servicio para el conjunto.	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.5	⚠️	bajo	El bot no alucina ni inventa datos, pero falla completamente en dar información útil
general	¿MutuaLyF busca soluciones para mis necesidades de salud?	Sí, MutuaLyF aborda los problemas de sus afiliados de manera integral y busca solucio	Sí, MutuaLyF aborda los problemas de sus afiliados de manera integral y busca solucio	5.0	✅	bajo	La respuesta del bot replica fielmente el contenido del ground truth con una leve ref
tramite	¿Qué tengo que hacer antes de ir a un estudio médico en MutuaLyF?	El Centro Médico MutuaLyF requiere que cumplas con ciertas preparaciones previas segú	Para realizar un estudio médico en el Centro Médico MutuaLyF, es necesario cumplir co	4.5	✅	bajo	La respuesta del bot es consistente con el ground truth, transmite correctamente que
tramite	¿Necesito prepararme de alguna forma especial antes de hacerme un análisis?	Sí, el Centro Médico MutuaLyF requiere preparaciones previas según el tipo de estudio	Tu consulta es un poco vaga. ¿Podrías especificar qué tipo de análisis o estudio médi	2.5	⚠️	bajo	El bot no responde la pregunta sino que la devuelve al usuario pidiendo más detalles,
general	¿Dónde puedo encontrar la información de qué debo hacer antes de ir al Centro Médico?	El Centro Médico MutuaLyF detalla la preparación necesaria según cada tipo de estudio	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no inventó datos (faithfulness alto), pero fue demasiado evasivo: no mencionó
general	¿Qué tengo que hacer antes de ir a una ecografía abdominal?	Para la ecografía abdominal necesitás ayuno absoluto de sólidos y líquidos de al meno	Para la ecografía abdominal, se requiere: 1. Ayuno absoluto de sólidos y líquidos de	5.0	✅	bajo	La respuesta del bot contiene exactamente la misma información que el ground truth, p
general	¿Cómo me preparo para una ecografía de próstata?	Para la ecografía prostática tenés que vaciar la vejiga una hora antes de la consulta	Para la ecografía prostática, debes vaciar la vejiga una hora antes de la consulta y	5.0	✅	bajo	La respuesta del bot replica con precisión todos los datos del ground truth: vaciar v
general	¿Qué debo hacer antes de una ecografía vesical o renal?	Para la ecografía vesical o renal debés vaciar la vejiga una hora antes de la consult	Para la ecografía vesical o prostática, debes: 1. Vaciar la vejiga una hora antes de	3.8	⚠️	medio	El bot da instrucciones correctas pero las asocia a ecografía prostática en lugar de
general	¿Qué tengo que hacer antes de ir a una ecografía ginecológica?	Para la ecografía obstétrica o pélvica debes beber 1 litro de agua una hora antes del	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.0	❌	bajo	El bot no proporcionó ninguna información útil sobre la preparación requerida, siendo
general	¿Necesito prepararme de alguna forma para una ecografía transvaginal?	No, la ecografía transvaginal no requiere preparación de retención de líquidos ni ayu	La ecografía transvaginal no requiere preparación de retención de líquidos ni ayuno p	4.5	✅	bajo	La respuesta es correcta y fiel al ground truth, pero omite la conclusión tranquiliza
general	¿Cuánta agua tengo que tomar antes de una ecografía pélvica?	Debes beber 1 litro de agua una hora antes del turno y retener la orina para lograr u	Para la ecografía pélvica, debes beber 1 (un) litro de agua una hora antes del turno	5.0	✅	bajo	La respuesta del bot es idéntica al ground truth en contenido, agregando únicamente l
general	¿Necesito ayunar antes de hacerme una ecografía mamaria?	No, la ecografía mamaria no requiere ayuno ni preparación especial previa al turno.	No, la ecografía mamaria no requiere ningún tipo de ayuno ni preparación especial pre	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, confirmando correctam
general	¿Qué tengo que hacer antes de ir a una ecografía de tiroides?	La ecografía de tiroides no requiere ningún tipo de preparación especial. Podés ir di	No se requiere ningún tipo de ayuno ni preparación especial previa al turno para una	4.8	✅	bajo	La respuesta es correcta y relevante; agrega el detalle útil sobre el ayuno que el gr
general	¿Hay que prepararse de alguna forma para un Doppler vascular?	No, el Doppler vascular no requiere ayuno ni preparación especial previa al turno.	No se requiere ningún tipo de ayuno ni preparación especial previa al turno para un D	5.0	✅	bajo	La respuesta del bot es semánticamente idéntica al ground truth, confirmando que no s
profesional	¿Qué médicos atienden en el Centro Médico de MutuaLyF?	El Centro Médico MutuaLyF se encuentra ubicado en Junín 2956, Santa Fe. Contamos con	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó datos pero fue evasivo e incompleto, omitiendo información clave co
contacto	¿Dónde queda el Centro Médico de MutuaLyF?	El Centro Médico MutuaLyF está ubicado en Junín 2956, Santa Fe.	El Centro Médico de MutuaLyF está ubicado en Junín 2956, Santa Fe.	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, proporcionando la dir
profesional	¿Cómo saco turno con los médicos del Centro Médico?	Para sacar turno con los profesionales del Centro Médico MutuaLyF (ubicado en Junín 2	Los turnos en el Centro Médico de MutuaLyF se pueden gestionar de las siguientes mane	4.0	⚠️	medio	La respuesta es completa y relevante, pero incluye canales específicos (web, turnero
profesional	¿Cuándo atiende la psicopedagoga Melina Abba?	La Dra. Melina Vanesa Abba atiende los jueves de 14:00 a 16:00 horas en el Centro Méd	La psicopedagoga Melina Abba atiende los jueves de 14:00 a 16:00 horas en el Centro M	4.8	✅	bajo	La respuesta es prácticamente idéntica al ground truth, con la única diferencia menor
profesional	¿Qué especialista de psicopedagogía tienen en MutuaLyF?	Contamos con la Dra. Melina Vanesa Abba, especialista en Psicopedagogía, que atiende	En MutuaLyF, el especialista en psicopedagogía es Melina Vanesa Abba. Ella atiende en	4.0	⚠️	medio	El bot responde correctamente el nombre y la dirección, pero agrega un horario especí
profesional	¿Dónde puedo sacar turno con la psicopedagoga y qué días atiende?	La psicopedagoga Melina Vanesa Abba atiende únicamente los jueves de 14:00 a 16:00 en	Puedes sacar turno con la psicopedagoga Melina Abba en el Centro Médico MutuaLyF, ubi	4.3	⚠️	medio	La respuesta es precisa en los datos clave pero omite indicar cómo sacar turno y agre
profesional	¿Cuándo atiende el Dr. Abraham Juan Carlos?	El Dr. Abraham Juan Carlos atiende los martes de 13:00 a 14:50 horas en el Centro Méd	El Dr. Abraham Juan Carlos atiende los martes de 13:00 a 14:50 horas en el Centro Méd	4.5	⚠️	medio	La respuesta es correcta y completa en los datos del ground truth, pero agrega la dir
profesional	¿Qué traumatólogo tienen disponible en MutuaLyF?	Contamos con el Dr. Abraham Juan Carlos, especialista en Traumatología, que atiende e	En el Centro Médico MutuaLyF hay dos traumatólogos disponibles: - **Abraham Juan Car	4.0	⚠️	medio	El bot responde con detalle y agrega horarios útiles, pero incluye un segundo médico
profesional	¿El Dr. Abraham de traumatología atiende los martes?	Sí, el Dr. Abraham Juan Carlos atiende los martes de 13:00 a 14:50 horas en el Centro	Sí, el Dr. Abraham Juan Carlos, especialista en traumatología, atiende los martes de	5.0	✅	bajo	La respuesta del bot es idéntica al ground truth en todos los datos relevantes, agreg
profesional	¿Cuándo atiende la Dra. Adrover de obstetricia?	La Dra. Jesica Adrover atiende los lunes y martes de 14:00 a 15:45 horas en el Centro	La Dra. Adrover de obstetricia atiende en el Centro Médico MutuaLyF, Junín 2956, Sant	4.8	✅	bajo	La respuesta contiene todos los datos correctos (días, horario y dirección) aunque om
profesional	¿La Dra. Adrover atiende los sábados?	No, la Dra. Jesica Adrover solo atiende lunes y martes de 14:00 a 15:45 horas. No tie	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información que sí existe
profesional	¿Cómo saco turno con la obstetra Adrover?	Para sacar turno con la Dra. Jesica Adrover, podés comunicarte al Centro Médico Mutua	Para sacar un turno con la obstetra Jesica Adrover, puedes hacerlo de las siguientes	4.3	⚠️	medio	La respuesta es completa y relevante, pero incluye canales de atención (web, turnero
profesional	¿Qué días atiende la psicóloga Natalia Aguirre?	La Dra. Natalia Aguirre atiende los lunes de 12:20 a 15:50 horas en el Centro Médico	Natalia Aguirre atiende los lunes de 12:20 a 15:50 horas en el Centro Médico MutuaLyF	4.8	✅	bajo	La respuesta es correcta y relevante, pero omite la dirección exacta del centro médic
profesional	¿Cómo saco turno con la psicóloga Natalia Aguirre?	Para sacar turno con la Dra. Natalia Aguirre (Psicología), podés comunicarte al númer	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.8	⚠️	bajo	El bot no alucinó ni inventó datos, pero falló en recuperar información disponible so
profesional	¿Hay psicólogo disponible? ¿En qué horarios atiende?	Sí, contamos con la Dra. Natalia Aguirre especializada en Psicología. Atiende los lun	Sí, hay varios psicólogos disponibles en el Centro Médico MutuaLyF. Aquí tienes los h	4.0	⚠️	medio	El bot responde correctamente la pregunta e incluye a la profesional del ground truth
profesional	¿Cuándo atiende la Dra. Albertengo de oftalmología?	La Dra. Julieta Albertengo atiende los miércoles de 09:30 a 12:15 horas y los viernes	La Dra. Albertengo de oftalmología atiende en el Centro Médico MutuaLyF, Junín 2956,	4.8	⚠️	medio	La respuesta es correcta y completa en horarios, pero agrega la dirección física 'Jun
profesional	¿Dónde puedo sacar turno con la oftalmóloga?	La Dra. Julieta Albertengo atiende en el Centro Médico MutuaLyF, ubicado en Junín 295	Los turnos con la oftalmóloga, Julieta Albertengo, se pueden gestionar a través de:	4.3	⚠️	medio	La respuesta es muy completa y relevante, pero incluye canales de contacto, links y h
profesional	¿La Dra. Albertengo atiende los sábados?	No, la Dra. Julieta Albertengo atiende únicamente los miércoles de 09:30 a 12:15 hora	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	3.3	⚠️	bajo	El bot no inventó datos (bajo riesgo de alucinación), pero falló en recuperar informa
profesional	¿Cuándo atiende la Dra. Almitrani de nutrición?	La Dra. María Florencia Almitrani atiende los miércoles de 08:00 a 10:45 horas en el	La Dra. Almitrani de nutrición atiende los miércoles de 08:00 a 10:45 horas en el Cen	4.8	✅	bajo	La respuesta es correcta y útil en todos los datos clave (día, horario y dirección),
profesional	¿Tenés nutricionista disponible? ¿Dónde atiende?	Sí, contamos con la Lic. María Florencia Almitrani especializada en Nutrición. Atiend	Sí, hay nutricionistas disponibles en el Centro Médico de MutuaLyF. 1. Macarena Mil	4.0	⚠️	medio	El bot responde correctamente sobre Almitrani pero agrega a Macarena Milagros Giordan
profesional	¿Cómo saco turno con la nutricionista Almitrani?	Para sacar turno con la Dra. María Florencia Almitrani, debes comunicarte con nuestro	Para sacar un turno con la nutricionista María Florencia Almitrani, puedes gestionar	4.3	⚠️	medio	La respuesta es completa y relevante, pero incluye canales de atención (web, turnero
profesional	¿Cuándo atiende la psicóloga Manuela Alonso?	La Dra. Manuela María Sol Alonso atiende los lunes de 14:00 a 16:40 horas en el Centr	La psicóloga Manuela Alonso atiende los lunes de 14:00 a 16:40 horas en el Centro Méd	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, con todos los datos c
profesional	¿Dónde puedo atenderme con la psicóloga Alonso?	La Dra. Manuela María Sol Alonso atiende en el Centro Médico MutuaLyF, ubicado en Jun	Puedes atenderte con la psicóloga Manuela María Sol Alonso en el Centro Médico MutuaL	4.3	⚠️	medio	El bot responde correctamente la ubicación pero agrega un horario específico (lunes 1
